"","ID","status","word1","word2","response","answer_key","accuracy","rt","attempt","NAtrials","contrast","cswl_list","item","trained","Task"
"1","5a09b895517dfb00013db8b8","complete","gosta.wav","t2_gostta.wav","y","m",0,346,1,NA,"hindi","B","24","0","AX_Pre-test"
"2","5a09b895517dfb00013db8b8","complete","tapsa.wav","t2_tapsa.wav","m","y",0,352,1,NA,"hindi","B","2","1","AX_Pre-test"
"3","5a09b895517dfb00013db8b8","complete","t2_gostta.wav","gosta.wav","y","m",0,359,1,NA,"hindi","B","16","0","AX_Pre-test"
"4","5a09b895517dfb00013db8b8","complete","ttapsa.wav","t2_ttapsa.wav","y","y",1,339,1,NA,"hindi","B","9","1","AX_Pre-test"
"5","5a09b895517dfb00013db8b8","complete","tapsa.wav","t2_ttapsa.wav","y","m",0,340,1,NA,"hindi","B","5","1","AX_Pre-test"
"6","5a09b895517dfb00013db8b8","complete","t2_gostta.wav","gostta.wav","m","y",0,348,1,NA,"hindi","B","20","0","AX_Pre-test"
"7","5a09b895517dfb00013db8b8","complete","t2_gosta.wav","gosta.wav","m","y",0,351,1,NA,"hindi","B","15","0","AX_Pre-test"
"8","5a09b895517dfb00013db8b8","complete","t2_ttapsa.wav","tapsa.wav","y","m",0,321,1,NA,"hindi","B","12","1","AX_Pre-test"
"9","5a09b895517dfb00013db8b8","complete","t2_gostta.wav","gostta.wav","y","y",1,360,1,NA,"hindi","B","21","0","AX_Pre-test"
"10","5a09b895517dfb00013db8b8","complete","t2_ttapsa.wav","tapsa.wav","y","m",0,331,1,NA,"hindi","B","10","1","AX_Pre-test"
"11","5a09b895517dfb00013db8b8","complete","gosta.wav","t2_gostta.wav","m","m",1,501,1,NA,"hindi","B","22","0","AX_Pre-test"
"12","5a09b895517dfb00013db8b8","complete","tapsa.wav","t2_ttapsa.wav","y","m",0,330,1,NA,"hindi","B","6","1","AX_Pre-test"
"13","5a09b895517dfb00013db8b8","complete","t2_gostta.wav","gostta.wav","m","y",0,347,1,NA,"hindi","B","19","0","AX_Pre-test"
"14","5a09b895517dfb00013db8b8","complete","ttapsa.wav","t2_ttapsa.wav","y","y",1,348,1,NA,"hindi","B","8","1","AX_Pre-test"
"15","5a09b895517dfb00013db8b8","complete","t2_gosta.wav","gosta.wav","m","y",0,492,1,NA,"hindi","B","13","0","AX_Pre-test"
"16","5a09b895517dfb00013db8b8","complete","gosta.wav","t2_gostta.wav","m","m",1,334,1,NA,"hindi","B","23","0","AX_Pre-test"
"17","5a09b895517dfb00013db8b8","complete","ttapsa.wav","t2_ttapsa.wav","m","y",0,335,1,NA,"hindi","B","7","1","AX_Pre-test"
"18","5a09b895517dfb00013db8b8","complete","t2_ttapsa.wav","tapsa.wav","m","m",1,312,1,NA,"hindi","B","11","1","AX_Pre-test"
"19","5a09b895517dfb00013db8b8","complete","tapsa.wav","t2_tapsa.wav","m","y",0,309,1,NA,"hindi","B","1","1","AX_Pre-test"
